IPDB,Name,Manufacturer,Year
"3781","Attack from Mars","Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated","1995"
"4032","Medieval Madness","Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated","1997"
"20","The Addams Family","Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated","1992"
"21","The Addams Family Special Collectors Edition","Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated","1994"
